,SalePrice
1658,175000
516,208300
1545,120000
1857,213750
597,172500
195,128000
1277,130000
288,127000
950,156450
2751,183600
2497,129200
2792,220000
1120,212700
2564,121000
549,184000
156,129000
419,148800
922,155000
2727,225000
477,189500
2124,146000
1692,338931
2401,275000
2796,268500
1523,145000
1471,185000
553,76000
1991,125000
1202,178400
390,165000
578,150000
1669,110000
2711,142500
2007,144000
2606,160000
1970,169500
2657,137000
1639,319900
820,295493
1997,185000
1985,108500
2801,216837
1006,194500
1248,180000
144,142000
664,106000
2597,108480
142,145000
2551,129800
1046,140000
1888,137500
421,462000
1660,174000
1714,250000
799,162000
2603,105000
615,110000
1318,122000
2817,149900
295,266500
401,130000
88,127000
2400,437154
1772,430000
2884,300000
131,128000
573,172500
2183,131750
77,99500
1402,256000
2409,171750
2539,146000
1188,145000
724,119000
1314,129400
2296,138000
1851,301000
2437,215000
2426,156820
1372,134000
1855,194000
1319,116900
2807,200000
2118,279000
375,200000
1908,105000
333,130000
2195,150000
2244,124900
1604,130500
1118,297900
2764,190000
1943,135000
2610,147000
2461,405749
1342,123000
320,202900
1619,161500
2486,125000
2060,127000
1673,155000
1942,138000
260,161750
2297,129500
2039,109900
689,127000
901,112000
2026,140000
138,135000
1917,131000
1828,294000
1573,294000
319,214900
653,132000
2488,144000
558,124100
112,205000
531,234500
224,137250
723,124900
2370,89000
2508,149900
1433,145000
2272,279900
1458,222500
2638,111500
846,195000
193,87000
1464,240000
946,251000
2021,200000
1629,168000
117,142250
645,115000
1870,136905
3,244000
74,205000
1755,175000
467,174000
5,195500
1246,137500
919,205000
228,328000
1063,615000
242,114000
2222,217000
1160,171900
2453,315000
1526,147500
1605,138000
2721,170000
2270,178000
2483,107000
1989,184900
2295,157000
1975,127500
1761,384500
1305,65000
1541,224000
622,124000
2256,330000
1493,165400
110,218500
1169,290000
232,260000
66,221500
2644,111500
2072,182000
536,193000
125,84900
2133,180000
1254,89900
2424,225000
1976,89500
2402,279000
2269,282000
2075,130000
484,257500
1654,192350
2866,210000
2209,145000
2348,188900
1774,330000
918,234000
1646,176000
1026,146900
1030,205000
882,173500
1335,119000
2166,167000
364,180500
2125,147900
27,115000
473,160200
525,252000
725,146500
55,216500
638,144000
302,82000
2546,167000
1276,127500
2573,143000
624,159000
2055,125000
1280,140000
1049,110000
336,159000
47,320000
106,155000
1079,207000
1144,175000
2329,457347
1836,193800
1753,181000
1101,291000
1968,99000
523,310000
1428,225000
2545,160000
603,177625
1489,165000
2500,334000
60,355000
2686,220000
671,135000
92,285000
666,190000
1887,140500
280,90000
1719,209500
359,166000
899,119900
1935,127000
1994,144100
2668,125000
760,116000
2158,219500
2560,135000
42,259000
2173,118500
204,122000
1473,208500
2100,279500
68,215200
1875,143000
2322,270000
137,190000
796,131000
2128,235500
758,135000
541,153000
1019,181900
2231,115000
165,160000
248,147000
1331,109500
2017,137500
446,233170
1358,127500
2145,228500
1329,79500
2843,35000
2150,267000
434,360000
2122,175000
577,180500
2334,535000
2678,88000
1848,174000
762,179000
388,167900
235,83000
2543,145000
1984,85000
267,224900
770,172500
2165,168675
437,255500
673,157500
249,245350
2201,148500
1574,293077
2142,127000
2081,80000
2555,85500
2506,151000
2676,115000
448,445000
1469,145000
716,265979
2341,470000
2552,137000
2048,130000
1901,39300
1168,285000
82,67500
2366,83000
1460,274000
1893,224500
1668,123000
2000,153500
475,200000
517,225000
404,112000
384,263435
2375,123000
2152,275000
1633,182000
2794,197000
688,145000
1240,166800
62,325000
852,124000
2688,117000
2416,172785
1262,186000
223,158000
2193,119000
373,215000
1824,145000
2476,184900
2802,133000
2535,138500
2621,109500
9,189000
1944,156000
1838,194000
708,45000
255,155000
1617,177000
389,158000
1581,180000
924,154900
2036,161000
2346,169000
1224,119000
1946,109000
739,100000
40,220000
868,211000
539,159000
2701,130000
1371,124000
1145,179200
1031,157000
372,82500
667,154000
357,185000
967,315000
1353,162500
1035,111900
470,192500
1396,152400
2901,369900
1549,119000
1256,140000
2094,228500
1555,40000
2527,250000
1250,110000
1699,440000
1252,118500
2717,156500
79,194500
1172,160000
814,113722
1852,312500
2220,257500
2566,172000
2105,155835
133,132000
1140,163000
933,137000
928,193000
823,212000
1531,149000
1214,140000
504,402000
2896,180000
1996,124500
1958,143000
1384,152000
894,85000
828,221800
2913,73000
1683,129250
2512,165000
2496,135000
2452,290000
652,129900
172,115000
38,395192
2795,230000
713,87500
90,190000
2887,209000
1205,109008
2523,146500
1827,300000
1155,192000
1324,131500
216,136000
510,275500
1680,128000
499,265000
2419,210250
1856,218000
1388,149350
1519,168000
2658,87000
2076,109900
1540,236500
1217,141000
1416,79000
2217,140000
2458,232000
1676,113000
1197,135000
1542,116500
953,173000
750,155000
234,124000
732,121000
2922,188000
1156,140000
2705,148000
1209,174900
1065,284000
2156,131500
1062,316000
1167,300000
1492,137500
2414,219210
884,108000
143,148000
2875,85000
850,203000
717,160000
2778,200000
264,272000
75,143000
395,128000
2484,119900
2224,215000
2735,274970
396,143000
1365,89500
2440,287602
1903,64000
595,117500
2109,212999
1296,155000
1821,132500
872,210000
2844,121000
2326,130000
1548,120500
36,376162
2466,197000
2143,117000
2494,137000
977,80000
1571,241500
1122,182000
2239,67000
1892,158000
675,133000
728,223500
412,147000
1516,140000
1649,190000
825,239000
616,149500
114,196500
417,128500
1625,204000
2872,102000
89,169000
2082,150000
753,62500
1630,154204
11,185000
2444,300000
284,144500
1066,284000
1191,240000
1440,221000
2737,415000
2736,235000
2647,124000
1568,100000
2427,213490
2515,221000
1687,322400
851,201000
2207,139000
895,120000
496,327000
2305,149900
1782,147000
335,149900
515,210000
1348,128000
1015,133000
2744,93000
1781,255000
1785,248328
2070,89500
356,178000
2787,119900
1312,130000
1635,377426
550,162000
2388,300000
2479,248500
2265,187500
1227,112900
2617,277500
957,315500
1773,263000
2141,122000
1008,189000
1092,186500
2611,115000
996,173000
1679,122500
153,105000
2719,172500
580,185000
1470,208900
703,103000
1212,179900
896,98000
487,179000
559,129000
1141,193500
1119,247000
512,253000
633,149500
2522,385000
1664,184000
1012,387000
1931,128600
1150,144000
2741,136900
116,171000
740,141500
2700,131000
1974,132000
1081,219990
1810,201000
830,237000
119,128950
656,149000
2669,64500
2629,146000
2865,199500
635,155000
369,185000
268,143750
46,500000
991,206900
876,213000
773,149900
1219,72500
1126,339750
4,189900
1595,129500
2311,222000
2491,116000
1077,155000
837,231500
681,139000
1715,194700
2352,172000
2361,88000
2197,96500
1148,153900
574,318750
50,175500
853,140000
1982,120000
1823,143900
833,233500
1115,245000
1166,172900
2518,214000
1906,144000
971,162000
399,124500
2559,146500
2368,91500
19,210000
684,132500
35,146000
2765,180000
524,270000
2455,336820
920,177500
1841,164700
1890,163500
537,203000
1705,325624
2864,239000
245,270000
784,82500
1409,235000
2537,124400
154,107500
1686,318000
625,256000
2809,195800
1346,123500
569,195000
1758,187000
1816,144000
2065,158000
127,197600
2908,104500
2006,128250
980,131900
2905,164000
190,140750
1139,182000
992,187500
699,107500
606,153000
180,100000
301,125500
2544,185900
2712,158000
1060,379000
2755,204900
2811,196500
2565,119000
1069,336860
2524,170000
2205,164000
1243,136000
16,164000
2911,126500
546,171500
658,109500
2641,139900
2672,202500
1504,91900
959,410000
2331,356383
797,105000
225,160250
2074,216000
1799,310013
2485,129500
2894,228000
2277,147000
2085,125000
1693,450000
1045,111750
469,175900
954,152000
2907,84500
639,176000
2715,180000
1218,153000
1158,372500
1415,125000
2650,96900
1527,91000
2854,200100
1300,147000
2800,274300
1603,119500
160,242000
1704,319500
956,375000
2848,128000
877,144000
1919,139000
1884,120000
2200,175000
98,152000
2763,220000
2557,127000
253,320000
103,147110
1445,149900
1443,223500
1648,192000
586,197900
627,193500
1696,395000
2101,200141
2199,146500
403,125000
1154,142000
2255,244000
1682,142500
2056,108000
2780,205000
452,196000
2301,124500
1327,138000
2049,158450
880,190000
2851,149000
623,187500
2393,298236
2709,164500
1787,260000
262,127000
1634,212000
1438,188000
2198,136500
1969,187000
2520,190000
1802,261329
640,153000
2385,326000
2598,68000
2766,280000
1959,119000
488,190000
1843,176000
1734,179540
146,108538
1534,110000
1986,137000
1369,82375
2450,584500
2869,257000
659,125000
1794,210400
2511,183900
186,76500
1147,193000
608,154000
2191,125000
1930,142000
197,139900
2327,239000
293,257500
766,103600
400,97000
122,136300
202,149500
835,152000
2294,196000
1439,191000
1733,203000
1695,479069
1707,342000
2846,140000
1153,119916
1661,178900
2432,178000
1759,185000
854,134900
1589,206300
2267,180500
641,135000
1,105000
2160,179400
698,150000
1636,349265
1291,118000
2791,214000
2489,151000
1520,130000
1853,279700
1136,155000
2831,137500
1631,170000
1998,133900
663,105000
683,138000
1257,86900
317,174000
648,145500
1434,226001
1479,193000
709,37900
1282,136870
1768,269790
972,165000
2675,114500
2680,149000
1306,295000
1400,245000
1408,185000
2237,75200
1496,176000
2038,101000
1529,115000
1663,143250
1354,145000
2857,140000
2877,139000
1643,182900
1051,426000
795,139500
2693,119500
1597,94900
2604,160000
2729,142500
2625,87500
1819,132500
1722,280000
1183,290000
2572,132500
1059,460000
540,142000
1678,106000
2821,119900
2532,142000
1757,162000
1923,120000
95,155000
1020,235000
563,275000
2790,222000
863,254750
1484,144500
1881,151500
1038,181000
206,55000
392,136000
870,203000
397,76500
2815,164990
1028,180000
2690,107000
1485,85000
2660,155000
960,316500
1570,228950
2773,235000
1895,200000
2731,190000
2146,270000
804,239900
1751,165500
2454,252000
502,260000
779,165000
1863,143450
200,109500
2182,140000
2088,120000
2278,130000
1796,212109
378,184000
2336,438780
418,100000
1698,250000
391,158000
2640,178000
1522,161900
1162,165000
1495,160500
2695,91000
2027,136000
1152,115000
1367,79900
2568,226000
64,221000
2062,143500
1180,324000
492,214000
379,278000
2235,100000
763,179000
2264,174000
791,154400
1076,219500
878,140000
337,136000
2767,158900
2343,229000
1016,215000
1275,105500
455,230000
815,269500
2317,240000
995,192000
1981,135000
201,140000
161,132000
1579,150000
2777,217000
2449,350000
702,135000
1500,82000
1129,230348
2613,120000
1021,220000
1585,305000
1955,135000
2253,148000
34,120000
775,137000
2556,79900
1478,218836
1390,185000
2139,120000
1363,127500
2612,159500
2824,229000
2041,122000
241,308030
2061,129000
2363,190000
600,118000
2435,180000
1297,78000
2214,359100
2068,150000
646,164900
1528,231000
2879,51689
1267,94000
1899,124000
562,123000
2734,225000
189,122500
1806,146000
975,86000
2747,209000
2047,108500
2558,161000
1082,191000
474,188500
747,214500
2300,135000
21,170000
459,248500
1184,205000
2324,165600
955,137500
1215,145500
2433,201490
2853,167000
1515,135900
2391,345000
769,139000
1685,314813
130,76500
2135,153500
1482,141000
330,75500
1238,185000
466,174000
2169,110000
1638,155000
1095,176000
1130,207500
1294,122250
860,133900
